Unnamed: 0,PID,treatment,recall_rmse.sc,article_recommend,article_surprise,article_interest,topic_involvement,attitude_pre,attitude_post,att_elic_drug_overdose_opinion_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_pre,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_pre,att_elic_opinion_on_drug_legalization_post,attitude_change,attitude_change_of,attitude_change_opinion,attitude_change_opinion_of,attitude_change_combat,attitude_change_combat_of,attitude_change_legalize,attitude_change_legalize_of,study
1,0221a667af5a,Categorize,0.170183219191879,3.66666666666667,2.33333333333333,5.0,7,14,15,5,5,4,5,5,5,1,1,0,0,1,1,0,0,Study 1
2,a4efc1c5e032,Categorize,0.0742236707002123,3.66666666666667,3.0,4.0,10,14,14,5,5,5,5,4,4,0,0,0,0,0,0,0,0,Study 1
3,1ad9a3fc0ae9,Categorize,0.161289273607379,5.0,1.66666666666667,5.0,19,14,15,5,5,5,5,4,5,1,1,0,0,0,0,1,1,Study 1
4,81a644280990,Control,0.0739381282334918,3.0,3.0,3.66666666666667,14,11,8,4,3,2,2,5,3,-3,-3,-1,-1,0,0,-2,-2,Study 1
5,0551708851de,Draw,0.100626610631954,5.0,2.33333333333333,5.0,18,14,14,5,5,5,5,4,4,0,0,0,0,0,0,0,0,Study 1
6,a242569ab155,Draw,0.0532358046173522,2.33333333333333,3.0,2.0,7,11,10,4,4,3,2,4,4,-1,-1,0,0,-1,-1,0,0,Study 1
7,7d39ec660966,Categorize,0.112226776349001,3.0,2.0,3.0,10,12,12,4,4,4,4,4,4,0,0,0,0,0,0,0,0,Study 1
8,ddc42351a95e,Draw,0.0996865042600441,2.66666666666667,2.0,4.0,16,13,14,4,4,4,5,5,5,1,1,0,0,1,1,0,0,Study 1
9,4e54da86815f,Categorize,0.0683830182198112,3.33333333333333,3.33333333333333,3.33333333333333,11,12,12,4,4,4,4,4,4,0,0,0,0,0,0,0,0,Study 1
10,fe1e969e05d0,Categorize,0.186495954746085,2.33333333333333,2.33333333333333,2.0,11,14,14,5,5,4,4,5,5,0,0,0,0,0,0,0,0,Study 1
11,2b7d81bac145,Control,0.0606273134759537,2.66666666666667,3.66666666666667,3.33333333333333,8,11,11,4,4,3,3,4,4,0,0,0,0,0,0,0,0,Study 1
12,7e46366f8d38,Draw,0.0804683804516967,2.66666666666667,2.66666666666667,4.66666666666667,19,13,15,5,5,4,5,4,5,2,2,0,0,1,1,1,1,Study 1
13,413e1d424cf2,Control,0.0560337119279351,3.66666666666667,4.33333333333333,4.66666666666667,10,12,13,4,4,4,5,4,4,1,1,0,0,1,1,0,0,Study 1
