Unnamed: 0,article_recommend,article_surprise,article_interest,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,education.Comment,gender.Comment,race.Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude,topic_involvement,attitude_pre,attitude_post,recall_rmse,recall_signed_err,vis_elic_rmse,vis_elic_signed_err,recall_rmse.sc,vis_elic_rmse.sc
1,5,2,5,0551708851de,Draw,Drug overdoses,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107,1678806483813,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0,18,14,14,10330.8364140574,2819.48090815273,13616.1670715462,8169.32610939112,0.129135455175717,0.170202088394327
2,5,2,5,0551708851de,Draw,Drug-use disorder,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107,1678806483813,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0,18,14,14,0.201932164195184,-0.147000773993808,1.18825239128262,1.04804566563468,0.0201932164195184,0.118825239128262
3,5,3,5,0551708851de,Draw,Synthetic opioids,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107,1678806483813,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0,18,14,14,12204.0928240502,9765.89473684211,19800.0212205335,-9765.0378578024,0.152551160300627,0.247500265256669
4,5,5,5,04df71b2925f,Categorize,Drug overdoses,one,1,1,5,5,5,5,2,5,5,1,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018,1678807501669,17.1775166666667,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0,12,12,11,6295.70129932376,-2319.32198142415,,,0.078696266241547,
5,5,5,5,04df71b2925f,Categorize,Drug-use disorder,one,1,1,5,5,5,5,2,5,5,1,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018,1678807501669,17.1775166666667,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0,12,12,11,0.49473526075036,0.337583849329205,,,0.049473526075036,
6,5,5,5,04df71b2925f,Categorize,Synthetic opioids,one,1,1,5,5,5,5,2,5,5,1,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018,1678807501669,17.1775166666667,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0,12,12,11,22073.9625529653,18339.7636195753,,,0.275924531912067,
7,3,2,4,730d6a32cd25,Categorize,Drug overdoses,one,3,3,4,4,4,5,5,5,5,5,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600,1678807239332,10.6788666666667,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0,14,14,15,11528.04445494,10134.4258259713,,,0.14410055568675,
8,3,2,2,730d6a32cd25,Categorize,Drug-use disorder,one,3,3,4,4,4,5,5,5,5,5,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600,1678807239332,10.6788666666667,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0,14,14,15,1.98004999759789,1.58588428162692,,,0.198004999759789,
9,3,3,4,730d6a32cd25,Categorize,Synthetic opioids,one,3,3,4,4,4,5,5,5,5,5,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600,1678807239332,10.6788666666667,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0,14,14,15,7717.37987302869,2763.88640968555,,,0.0964672484128587,
10,3,3,3,23e5e1299787,Draw,Drug overdoses,one,3,2,2,2,5,5,4,5,5,4,Man,White/Caucasian/European,High School,41,,,,1678806707817,1678807397903,11.5014333333333,Second place ,8,Emily,27,Players are disappointed at the quality of turf in this game,0,9,14,14,18504.5097626324,-15396.7213622291,8586.04135919281,-4977.73271413829,0.231306372032905,0.10732551698991
11,3,3,3,23e5e1299787,Draw,Drug-use disorder,one,3,2,2,2,5,5,4,5,5,4,Man,White/Caucasian/European,High School,41,,,,1678806707817,1678807397903,11.5014333333333,Second place ,8,Emily,27,Players are disappointed at the quality of turf in this game,0,9,14,14,0.191929936654281,0.0444981940144475,0.181114009512221,0.0837138802889572,0.0191929936654281,0.0181114009512221
12,3,3,3,23e5e1299787,Draw,Synthetic opioids,one,3,2,2,2,5,5,4,5,5,4,Man,White/Caucasian/European,High School,41,,,,1678806707817,1678807397903,11.5014333333333,Second place ,8,Emily,27,Players are disappointed at the quality of turf in this game,0,9,14,14,16143.466201733,-5372.14773776546,18864.3295206447,-4899.38688827331,0.201793327521663,0.235804119008058
13,3,3,1,d1131945e20f,Categorize,Drug overdoses,one,3,1,1,1,3,3,1,3,3,1,Man,White/Caucasian/European,Masters,65,,,,1678806720250,1678807528537,13.47145,second,8,emily,0,Turf condition on the field had a negative impact on the players' performance,0,6,7,7,7483.71851588818,2551.52082527089,,,0.0935464814486022,
14,2,2,1,d1131945e20f,Categorize,Drug-use disorder,one,3,1,1,1,3,3,1,3,3,1,Man,White/Caucasian/European,Masters,65,,,,1678806720250,1678807528537,13.47145,second,8,emily,0,Turf condition on the field had a negative impact on the players' performance,0,6,7,7,1.24282169608194,1.10330194526412,,,0.124282169608194,
15,2,2,1,d1131945e20f,Categorize,Synthetic opioids,one,3,1,1,1,3,3,1,3,3,1,Man,White/Caucasian/European,Masters,65,,,,1678806720250,1678807528537,13.47145,second,8,emily,0,Turf condition on the field had a negative impact on the players' performance,0,6,7,7,18032.1812642961,-4738.77166291551,,,0.225402265803701,
16,3,3,4,5fd077b97395,Control,Drug overdoses,one,3,3,3,3,4,4,4,4,5,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1678806723526,1678807464768,12.3540333333333,2nd,8,emily ,9,Eagles team complained about turf on the field affecting game performance/results ,0,12,12,13,7736.38926228616,5921.39034483036,,,0.096704865778577,
17,3,3,4,5fd077b97395,Control,Drug-use disorder,one,3,3,3,3,4,4,4,4,5,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1678806723526,1678807464768,12.3540333333333,2nd,8,emily ,9,Eagles team complained about turf on the field affecting game performance/results ,0,12,12,13,0.837384417289378,-0.781759438844411,,,0.0837384417289378,
18,3,3,4,5fd077b97395,Control,Synthetic opioids,one,3,3,3,3,4,4,4,4,5,4,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,26,,,,1678806723526,1678807464768,12.3540333333333,2nd,8,emily ,9,Eagles team complained about turf on the field affecting game performance/results ,0,12,12,13,17730.4824432019,14940.8270176881,,,0.221631030540024,
19,3,2,3,77b216dfe4a9,Draw,Drug overdoses,one,3,3,3,4,4,4,5,4,4,5,Woman,White/Caucasian/European,Masters,27,,,,1678807003589,1678807561494,9.29841666666667,Second,8,Emily,27,"The turf on the field at the 2023 superbowl was not up to the usual standard that teams were playing on, and it affected their game play, though not enough to change who deserved the win.",0,13,13,13,8433.7455220027,4889.91434468525,4310.37887526405,2165.45614035088,0.105421819025034,0.0538797359408006
20,3,4,3,77b216dfe4a9,Draw,Drug-use disorder,one,3,3,3,4,4,4,5,4,4,5,Woman,White/Caucasian/European,Masters,27,,,,1678807003589,1678807561494,9.29841666666667,Second,8,Emily,27,"The turf on the field at the 2023 superbowl was not up to the usual standard that teams were playing on, and it affected their game play, though not enough to change who deserved the win.",0,13,13,13,0.227562903605388,-0.0264834881320954,3.69668839839242,3.38940918472652,0.0227562903605388,0.369668839839242
21,3,4,3,77b216dfe4a9,Draw,Synthetic opioids,one,3,3,3,4,4,4,5,4,4,5,Woman,White/Caucasian/European,Masters,27,,,,1678807003589,1678807561494,9.29841666666667,Second,8,Emily,27,"The turf on the field at the 2023 superbowl was not up to the usual standard that teams were playing on, and it affected their game play, though not enough to change who deserved the win.",0,13,13,13,7710.61726067608,6894.93444136657,16107.1099823487,10455.4145891043,0.0963827157584511,0.201338874779359
22,4,3,4,49e1091801e0,Control,Drug overdoses,one,3,4,3,4,5,5,3,5,5,3,Man,Hispanic/Latino,High School,32,,,,1678807016565,1678808256494,20.6654833333333,second,8,Emily,27,Players were disappointed with field conditions during an NFL game.,0,14,13,13,6799.04396106052,-5931.44702778316,,,0.0849880495132564,
23,4,3,4,49e1091801e0,Control,Drug-use disorder,one,3,4,3,4,5,5,3,5,5,3,Man,Hispanic/Latino,High School,32,,,,1678807016565,1678808256494,20.6654833333333,second,8,Emily,27,Players were disappointed with field conditions during an NFL game.,0,14,13,13,0.25490068011635,0.167182448380257,,,0.025490068011635,
24,4,5,5,49e1091801e0,Control,Synthetic opioids,one,3,4,3,4,5,5,3,5,5,3,Man,Hispanic/Latino,High School,32,,,,1678807016565,1678808256494,20.6654833333333,second,8,Emily,27,Players were disappointed with field conditions during an NFL game.,0,14,13,13,13344.0040624679,-768.313805690212,,,0.166800050780848,
25,5,2,3,b629b68be2aa,Control,Drug overdoses,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Masters,62,,,,1678807105084,1678808052834,15.7958333333333,First,7,June,27,"In Super Bowl 2023, slippery turf was an issue that impaced both the Eagles and the Chiefs and kept them from playing their respective 'best game.'",0,18,14,14,6697.30594768056,-866.277605779156,,,0.083716324346007,
26,4,3,3,b629b68be2aa,Control,Drug-use disorder,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Masters,62,,,,1678807105084,1678808052834,15.7958333333333,First,7,June,27,"In Super Bowl 2023, slippery turf was an issue that impaced both the Eagles and the Chiefs and kept them from playing their respective 'best game.'",0,18,14,14,0.796195368560402,0.758636480908153,,,0.0796195368560401,
27,4,4,5,b629b68be2aa,Control,Synthetic opioids,one,4,4,5,5,5,5,4,5,5,4,Woman,White/Caucasian/European,Masters,62,,,,1678807105084,1678808052834,15.7958333333333,First,7,June,27,"In Super Bowl 2023, slippery turf was an issue that impaced both the Eagles and the Chiefs and kept them from playing their respective 'best game.'",0,18,14,14,11578.8783516172,10790.3638042475,,,0.144735979395216,
