recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,education-Comment,gender-Comment,race-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Extremely,A little,Extremely,0551708851de,visual,drugOverdose,one,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107.0,1678806483813.0,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0
Extremely,A little,Extremely,0551708851de,visual,population,one,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107.0,1678806483813.0,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0
Extremely,Moderately,Extremely,0551708851de,visual,opioids,one,A lot,A lot,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,28,,,,1678806001107.0,1678806483813.0,8.0451,2,8,Emily,3,"After a disappointing football game, some people attribute the loss to the poor field conditions due to weather, while others say the other team deserve the win.",0
Extremely,Extremely,Extremely,04df71b2925f,txt,drugOverdose,one,Not at All,Not at All,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018.0,1678807501669.0,17.177516666666666,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0
Extremely,Extremely,Extremely,04df71b2925f,txt,population,one,Not at All,Not at All,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018.0,1678807501669.0,17.177516666666666,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0
Extremely,Extremely,Extremely,04df71b2925f,txt,opioids,one,Not at All,Not at All,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,46,Associate's Degree,,,1678806471018.0,1678807501669.0,17.177516666666666,2,8,Emily,0,The Eagles were slowed down in their football game and believe that the slippery turf may have factored in to their loss. ,0
Moderately,A little,A lot,730d6a32cd25,txt,drugOverdose,one,Moderately,Moderately,A lot,A lot,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600.0,1678807239332.0,10.678866666666666,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0
Moderately,A little,A little,730d6a32cd25,txt,population,one,Moderately,Moderately,A lot,A lot,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600.0,1678807239332.0,10.678866666666666,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0
Moderately,Moderately,A lot,730d6a32cd25,txt,opioids,one,Moderately,Moderately,A lot,A lot,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,other,White/Caucasian/European,High School,39,,non-binary,,1678806598600.0,1678807239332.0,10.678866666666666,first,seven,June,twenty seven feet,The turf of the football field of the 2020 was a factor in the final outcome.,0
Moderately,Moderately,Moderately,23e5e1299787,visual,drugOverdose,one,Moderately,A little,A little,A little,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,41,,,,1678806707817.0,1678807397903.0,11.501433333333331,Second place ,8,Emily,27,Players are disappointed at the quality of turf in this game,0
