Unnamed: 0,article_recommend,article_surprise,article_interest,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race.Comment,education.Comment,gender.Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude,topic_involvement,attitude_pre,attitude_post,recall_rmse,recall_signed_err,recall_rmse.sc,vis_elic_rmse,vis_elic_signed_err,vis_elic_rmse.sc
1,3,2,2,b99f0937e5e8,Control,Drug overdoses,two,3,4,3,2,5,5,1,5,5,1,Woman,African American/Black,Prefer not to say,38,,,,1679511432589,1679513940574,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0,12,11,11,13028.9491641039,9055.29102167182,0.162861864551299,,,
2,2,3,2,b99f0937e5e8,Control,Drug-use disorder,two,3,4,3,2,5,5,1,5,5,1,Woman,African American/Black,Prefer not to say,38,,,,1679511432589,1679513940574,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0,12,11,11,3.47847172646897,2.8827657378741,0.347847172646897,,,
3,3,1,2,b99f0937e5e8,Control,Synthetic opioids,two,3,4,3,2,5,5,1,5,5,1,Woman,African American/Black,Prefer not to say,38,,,,1679511432589,1679513940574,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0,12,11,11,24208.532507907,21597.6121883657,0.302606656348837,,,
4,4,5,4,c157928e815f,Control,Drug overdoses,two,3,3,3,3,5,4,4,5,4,2,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235,1679512261652,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0,12,13,11,6637.97437158891,-3213.10997565145,0.0829746796448614,,,
5,4,4,5,c157928e815f,Control,Drug-use disorder,two,3,3,3,3,5,4,4,5,4,2,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235,1679512261652,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0,12,13,11,2.64143501156154,1.98437428390771,0.264143501156154,,,
6,5,5,5,c157928e815f,Control,Synthetic opioids,two,3,3,3,3,5,4,4,5,4,2,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235,1679512261652,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0,12,13,11,26598.3797944663,24241.0444251401,0.332479747430829,,,
7,3,3,4,fe4ac3dac84d,Categorize,Drug overdoses,two,2,1,3,3,4,4,2,5,5,1,Man,White/Caucasian/European,High School,23,,,,1679511973064,1679512671959,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0,9,10,11,11754.2708872168,-7220.25077399382,0.14692838609021,,,
8,3,3,4,fe4ac3dac84d,Categorize,Drug-use disorder,two,2,1,3,3,4,4,2,5,5,1,Man,White/Caucasian/European,High School,23,,,,1679511973064,1679512671959,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0,9,10,11,1.94243174533736,1.65066434468524,0.194243174533736,,,
9,2,2,3,fe4ac3dac84d,Categorize,Synthetic opioids,two,2,1,3,3,4,4,2,5,5,1,Man,White/Caucasian/European,High School,23,,,,1679511973064,1679512671959,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0,9,10,11,15754.3428571738,-2054.51154201293,0.196929285714672,,,
10,4,1,4,00f375119d22,Control,Drug-use disorder,two,5,4,4,4,4,5,4,4,5,4,Woman,Native American,High School,51,,,,1679512120918,1679514630956,41.8339666666667,Second,Eight,Emily,0,The Eagles believe the field conditions played a part in them not playing as well as they would have liked to during the Super Bowl.,0,17,13,13,0.114995027995794,-0.0645059339525287,0.0114995027995794,,,
