elicitation_value,PID,article,study,treatment,elicitation_id,year,elicitation_defined,true_value,elicitation_accuracy_abs,elicitation_accuracy_signed,exclude
,b99f0937e5e8,gun,two,control,,,,,,,0
,b99f0937e5e8,hiv,two,control,,,,,,,0
,b99f0937e5e8,drugOverdose,two,control,,,,,,,0
,b99f0937e5e8,southAfrica,two,control,,,,,,,0
,b99f0937e5e8,italy,two,control,,,,,,,0
,b99f0937e5e8,population,two,control,,,,,,,0
,b99f0937e5e8, cocaine,two,control,,,,,,,0
,b99f0937e5e8,heroin,two,control,,,,,,,0
,b99f0937e5e8,opioids,two,control,,,,,,,0
,c157928e815f,gun,two,control,,,,,,,0
,c157928e815f,hiv,two,control,,,,,,,0
,c157928e815f,drugOverdose,two,control,,,,,,,0
,c157928e815f,southAfrica,two,control,,,,,,,0
,c157928e815f,italy,two,control,,,,,,,0
,c157928e815f,population,two,control,,,,,,,0
,c157928e815f, cocaine,two,control,,,,,,,0
,c157928e815f,heroin,two,control,,,,,,,0
,c157928e815f,opioids,two,control,,,,,,,0
5.0,fe4ac3dac84d,gun,two,txt,,,,,,,0
2.0,fe4ac3dac84d,hiv,two,txt,,,,,,,0
5.0,fe4ac3dac84d,drugOverdose,two,txt,,,,,,,0
2.0,fe4ac3dac84d,southAfrica,two,txt,,,,,,,0
3.0,fe4ac3dac84d,italy,two,txt,,,,,,,0
5.0,fe4ac3dac84d,population,two,txt,,,,,,,0
2.0,fe4ac3dac84d,cocaine,two,txt,,,,,,,0
4.0,fe4ac3dac84d,heroin,two,txt,,,,,,,0
4.0,fe4ac3dac84d,opioids,two,txt,,,,,,,0
,00f375119d22,gun,two,control,,,,,,,0
,00f375119d22,hiv,two,control,,,,,,,0
,00f375119d22,drugOverdose,two,control,,,,,,,0
,00f375119d22,southAfrica,two,control,,,,,,,0
,00f375119d22,italy,two,control,,,,,,,0
,00f375119d22,population,two,control,,,,,,,0
,00f375119d22, cocaine,two,control,,,,,,,0
,00f375119d22,heroin,two,control,,,,,,,0
,00f375119d22,opioids,two,control,,,,,,,0
,6ca2f97d4a43,gun,two,control,,,,,,,0
,6ca2f97d4a43,hiv,two,control,,,,,,,0
,6ca2f97d4a43,drugOverdose,two,control,,,,,,,0
,6ca2f97d4a43,southAfrica,two,control,,,,,,,0
,6ca2f97d4a43,italy,two,control,,,,,,,0
,6ca2f97d4a43,population,two,control,,,,,,,0
,6ca2f97d4a43, cocaine,two,control,,,,,,,0
,6ca2f97d4a43,heroin,two,control,,,,,,,0
,6ca2f97d4a43,opioids,two,control,,,,,,,0
,2c5843f9c456,gun,two,control,,,,,,,0
,2c5843f9c456,hiv,two,control,,,,,,,0
,2c5843f9c456,drugOverdose,two,control,,,,,,,0
,2c5843f9c456,southAfrica,two,control,,,,,,,0
,2c5843f9c456,italy,two,control,,,,,,,0
,2c5843f9c456,population,two,control,,,,,,,0
,2c5843f9c456, cocaine,two,control,,,,,,,0
,2c5843f9c456,heroin,two,control,,,,,,,0
,2c5843f9c456,opioids,two,control,,,,,,,0
44232.45614035087,e8cd1158b93b,gun,,visual,1.0,2003.0,True,44757.0,524.5438596491294,-524.5438596491294,0
44232.45614035087,e8cd1158b93b,gun,,visual,1.0,2004.0,True,44933.0,700.5438596491294,-700.5438596491294,0
45355.26315789473,e8cd1158b93b,gun,,visual,1.0,2005.0,True,45343.0,12.263157894733013,12.263157894733013,0
