recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Moderately,A little,A little,b99f0937e5e8,control,drugOverdose,two,Moderately,A lot,Moderately,A little,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,Prefer not to say,38,,,,1679511432589.0,1679513940574.0,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0
A little,Moderately,A little,b99f0937e5e8,control,population,two,Moderately,A lot,Moderately,A little,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,Prefer not to say,38,,,,1679511432589.0,1679513940574.0,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0
Moderately,Not at All,A little,b99f0937e5e8,control,opioids,two,Moderately,A lot,Moderately,A little,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,Prefer not to say,38,,,,1679511432589.0,1679513940574.0,41.79975,First ,Seven ,June,Twenty seven,The field conditions caused the the Eagles to have a bad game.,0
A lot,Extremely,A lot,c157928e815f,control,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235.0,1679512261652.0,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0
A lot,A lot,Extremely,c157928e815f,control,population,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235.0,1679512261652.0,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0
Extremely,Extremely,Extremely,c157928e815f,control,opioids,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,41,,,,1679511847235.0,1679512261652.0,6.90695,second,8,Emily,0,"While they aren't fully blaming turf conditions, players note that the turf in the 2023 superbowl may have had negative consequences for both teams.",0
Moderately,Moderately,A lot,fe4ac3dac84d,txt,drugOverdose,two,A little,Not at All,Moderately,Moderately,Serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,High School,23,,,,1679511973064.0,1679512671959.0,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0
Moderately,Moderately,A lot,fe4ac3dac84d,txt,population,two,A little,Not at All,Moderately,Moderately,Serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,High School,23,,,,1679511973064.0,1679512671959.0,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0
A little,A little,Moderately,fe4ac3dac84d,txt,opioids,two,A little,Not at All,Moderately,Moderately,Serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,High School,23,,,,1679511973064.0,1679512671959.0,11.64825,second,8,emily,9,The football teams had an underwhelming game due to the turf that they had to play on.,0
A lot,Not at All,A lot,00f375119d22,control,population,two,Extremely,A lot,A lot,A lot,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,Native American,High School,51,,,,1679512120918.0,1679514630956.0,41.83396666666667,Second,Eight,Emily,0,The Eagles believe the field conditions played a part in them not playing as well as they would have liked to during the Super Bowl.,0
