"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-7.071094573,0.478080926844524,-8.01227275,-6.12882425,1.00078670394061,1633.98629105306,3113.27562509752
"Intercept[2]",-3.134392198,0.394831309748764,-3.89328675,-2.36365975,1.00085794606756,1364.75827763723,2589.9146119489
"Intercept[3]",0.5736680954869,0.379430858750714,-0.16621565,1.320184,1.00077053198856,1283.08097446371,2462.48261666689
"Intercept[4]",4.347976411,0.408499117993257,3.5648575,5.194411,1.00061702292152,1433.31669740968,2935.81043962333
"Study [2]",1.80367409855,0.525406364845924,0.76629995,2.84315825,1.00187294851065,1200.87494150716,2432.09564206326
"Treatment [Categorize]",0.49448408800851,0.540461868810513,-0.567668775,1.56328625,1.00108394864687,1187.02507383694,2152.22547303574
"Treatment [Draw]",-0.076351958480694,0.543166369886029,-1.13312125,1.00892025,1.00215981085996,1178.04674268221,2643.71056931825
"Article [Drug use disorder]",-1.1881583784,0.135477687643949,-1.45861475,-0.9277462,1.00017870575692,8612.66687445649,8082.98419978997
"Article [Synthetic opioids]",0.485677695407,0.132944129783544,0.2238029,0.7459885,0.999972899344642,10726.7422516491,8377.2602943122
"Topic involvement",2.224700574,0.190826953676454,1.85216,2.60740525,1.00193842760779,1609.03198369562,2989.03291375717
"Pre-Attitude",0.3788183210732,0.172431998677166,0.045725865,0.7185282,1.00096022822554,1442.87084567553,2673.65767542846
"Study [2] x Treatment [Categorize]",-0.079210206923,0.76677475135274,-1.632037,1.41064875,1.00194596084848,1140.39697667733,2232.02663182331
"Study [2] x Treatment [Draw]",0.68510191195813,0.772159394136986,-0.83707595,2.220355,1.00224615926954,1216.13871052847,2540.96783511079
