"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-5.792451852,0.456296418502846,-6.70167775,-4.902897,1.00247426705025,1350.34683266603,2715.06870741356
"Intercept[2]",-2.1471092419,0.404137623256292,-2.95043975,-1.350908,1.0031188382594,1106.97894824804,2313.75964917038
"Intercept[3]",2.1564636586,0.410069235181423,1.354128,2.97588325,1.00319509938769,1052.95601944086,2490.60342296494
"Intercept[4]",6.046365061,0.458259680310538,5.15649675,6.94591575,1.00257597810202,1219.15729160986,2777.70760197126
"Study [2]",0.7894620536771,0.551587915885864,-0.2877203,1.88975475,1.00180693406878,1077.03824824102,2511.78940728832
"Treatment [Categorize]",0.628193039798,0.584885175605823,-0.519543575,1.7736045,1.00288958834222,1001.44947164264,2190.8061939083
"Treatment [Draw]",-0.19059543018056,0.574474394245064,-1.31168625,0.94597325,1.00587873578887,1044.19908335753,1967.22101982557
"Article [Drug use disorder]",-0.9590414488,0.134758490940642,-1.22351475,-0.699088,1.00014367784368,9039.00192961081,7718.50537924775
"Article [Synthetic opioids]",0.8160805703,0.133496675290751,0.55411165,1.07719075,1.00041455011058,9629.17978545922,7709.83274579823
"Topic involvement",2.480232477,0.196403535943953,2.10821225,2.87294425,1.00336161153332,1616.36269496709,2854.38188193365
"Pre-Attitude",0.2029027571442,0.179002804908268,-0.146596575,0.547160875,1.00103470366627,1312.66889024793,3109.93728207711
"Study [2] x Treatment [Categorize]",0.12964380433734,0.809015606000479,-1.4668045,1.676266,1.00426632450374,1066.19975986841,2646.72932964131
"Study [2] x Treatment [Draw]",1.4529068479296,0.808416181834978,-0.152662999999999,3.01854825,1.00333112317645,1089.21186321076,2134.81238037171
