"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-1.673857022,0.305825930410751,-2.275779,-1.06906625,1.0016623794667,2600.68306453506,4943.83357162633
"Intercept[2]",0.538282618527976,0.303603195202275,-0.0620397199999999,1.13931,1.00132979891932,2565.58292947255,4688.68034608119
"Intercept[3]",2.624659994,0.312740775097781,2.013285,3.24740175,1.00117026061464,2659.54814090956,4944.08381525698
"Intercept[4]",4.867780033,0.335870977579289,4.22660375,5.533275,1.00087267548064,2867.99947141891,5099.27983691172
"Study [2]",1.159554355582,0.41276227439454,0.34093045,1.95984775,1.00403607162299,2024.74872120867,3334.91593370526
"Treatment [Categorize]",-0.34510110822822,0.427429982117889,-1.18817375,0.475985725,1.00100829126556,2356.54572506791,4235.29389014715
"Treatment [Draw]",0.8459885869298,0.431810722024465,0.0157991775,1.7103005,1.00303883930612,2218.18731864772,3984.22628224642
"Article [Drug use disorder]",-0.057311182755144,0.11873195731229,-0.289471175,0.173778,1.00013816573235,12551.8451303542,8283.92501072297
"Article [Synthetic opioids]",1.1355018763,0.122393625168139,0.898113625,1.375004,1.0007540330747,10974.8723181466,7082.57799364016
"Topic involvement",0.7335095913,0.138334120164948,0.4620853,1.005734,1.00285110894869,2556.60978000452,4020.73385153287
"Pre-Attitude",-0.3228761923663,0.135653967208551,-0.5888696,-0.0539256175,1.00241463287803,2050.60128673169,4193.72637427918
"Study [2] x Treatment [Categorize]",0.249390450646146,0.594635956069018,-0.900300899999999,1.419486,1.00261815929828,2163.84881341805,3401.23219776075
"Study [2] x Treatment [Draw]",0.6123857980777,0.595609004793625,-0.562290875,1.78451225,1.00410072558733,2091.97546494919,3725.08957288389
