"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-5.702109895,1.02390147141968,-8.11494575,-4.11737025,1.00050782061928,4409.68134230712,3853.58781007944
"Intercept[2]",-3.16152948125,0.355448909503253,-3.88981025,-2.510942,1.00023679293146,8284.78338560051,6787.52270946663
"Intercept[3]",1.685339481875,0.254632326631366,1.19024725,2.185333,1.00072081017052,6596.00579290232,5521.75041106109
"Intercept[4]",4.11408805125,0.438313309949743,3.30209975,5.03623275,1.00053990703503,8280.68807316867,5706.0547526504
"Treatment [Categorize]",0.362076599975125,0.345854687069992,-0.316576625,1.043588,1.00081882954476,7823.6530898588,6378.42111320887
"Treatment [Draw]",0.33855402225225,0.34843384556495,-0.3469026,1.02339075,1.00041160746796,7878.35909551736,6096.43969906104
"Topic Involvement",-0.472700465227125,0.17852675085529,-0.826517425,-0.1319957,0.999927588809855,7769.83500748068,5776.65294655028
"Article Interest",0.366805145636225,0.235150529812633,-0.0995135999999999,0.823796575,1.00052223604444,6319.86328778632,5180.13788873547
"Article Recommend",0.279733892384712,0.226360056961037,-0.15703885,0.730267049999999,1.00070538970098,6712.18282678537,5807.72505935436
"Article Surprise",0.0770327677003625,0.154852719913441,-0.2246251,0.383808325,1.00074769784729,8877.03777865932,6023.40459397073
