"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-6.0139304625,1.06472291601174,-8.53896725,-4.3895335,1.00123119434529,4084.08716895834,3379.97627692993
"Intercept[2]",-3.873911715,0.4396784844579,-4.78496625,-3.06856325,1.00068578153537,7034.03091162862,6201.85872371442
"Intercept[3]",-1.806287577375,0.263656968123538,-2.34374525,-1.30469725,1.00126592484892,6816.07890953136,6254.63212867059
"Intercept[4]",3.44622262375,0.378177809164911,2.73780225,4.2322785,1.00070026905421,8115.86578099568,6403.75975349392
"Intercept[5]",5.899953965,1.05153923051744,4.2592555,8.33964125,1.00024405555636,8368.53383394839,5881.28311119238
"Treatment [Categorize]",0.154955555924575,0.37312174459906,-0.566562025,0.88434305,1.0002760361138,7681.51012189079,6348.37822508218
"Treatment [Draw]",-0.258605710441063,0.363880609756788,-0.972640225,0.449809574999999,1.00053244257385,8034.98245449654,6525.23005820804
"Topic Involvement",0.33534376695975,0.186415261298169,-0.0270063624999999,0.700904325,1.00018692462073,6742.64886768504,5966.18999344659
"Article Interest",-0.227902309872688,0.25599962998183,-0.7379005,0.269119575,1.00042697752054,5371.9882566887,5987.98189772831
"Article Recommend",-0.249057487946438,0.246666130956728,-0.72565305,0.2192468,1.00036861696122,6012.67243012447,5839.15542800116
"Article Surprise",-0.242030201613675,0.17232333645728,-0.57685225,0.0864205174999999,1.00219308693901,7144.6787355653,6165.00663696552
