"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-6.697782971,0.512256196522844,-7.752054,-5.72854175,1.00060802021407,2918.97698011479,4680.05212011542
"Intercept[2]",-2.882994927,0.393128286385132,-3.66291275,-2.12255875,1.00045232837235,2348.68506523451,3723.27831313354
"Intercept[3]",0.6605221892324,0.37023822612911,-0.0590657125,1.38507475,1.00061116546725,2051.35492352594,3966.1653811412
"Intercept[4]",4.408044341,0.434441622487925,3.5807,5.296993,1.00050301574157,2390.91867548155,4179.97282420624
"Treatment [Categorize]",0.4685161312438,0.510565806464673,-0.523642575,1.48815025,1.0003453813855,1884.92623300298,3667.12741484025
"Treatment [Draw]",-0.1109944247024,0.514902698197219,-1.12994,0.91719095,1.00125617336875,1728.63739157724,2939.69749270929
"Article [Drug use disorder]",-1.1102896964,0.187996151842079,-1.48208325,-0.7458332,1.00014171562131,12103.2271713738,7979.68775418229
"Article [Synthetic opioids]",0.7976439418,0.187357873798047,0.4317327,1.17018125,0.999795663130611,14112.6143296723,8355.02852846013
"Topic involvement",2.24536566,0.255396394973854,1.74933425,2.76368025,1.00081296344367,2322.2653559607,4198.33332403777
"Pre-Attitude",0.4049213855031,0.231349263583834,-0.0541801399999999,0.84990965,1.00059371501136,2206.57823999605,3655.52641911104
