"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-1.34201965127,0.309978939212675,-1.93680225,-0.737590625,1.00133457267405,2218.07128222489,4089.66100511487
"Intercept[2]",0.6583300794086,0.306995849723575,0.0737446375000001,1.27118025,1.00183866462266,2208.35515918347,3758.48732155665
"Intercept[3]",2.709538772,0.324219203992601,2.09832775,3.35818125,1.00206518311122,2334.59880008642,4392.20886492743
"Intercept[4]",4.765837384,0.365770615392113,4.069956,5.51060225,1.00185225487266,2591.78388060463,4577.93340337197
"Treatment [Categorize]",-0.31701721732851,0.414534102676105,-1.1451685,0.494447225,1.00055048113644,1897.53912430549,3643.41325546569
"Treatment [Draw]",0.8164978056727,0.413636003289344,0.0314173300000001,1.63815675,1.00140857868818,1818.96453067237,3157.78158116396
"Article [Drug use disorder]",0.0143232058412,0.172054335849548,-0.322345425,0.352142425,1.00021389853817,9579.87455926749,7732.83506198867
"Article [Synthetic opioids]",1.4433174886,0.178742685104512,1.098538,1.7943925,1.0002415215465,7742.99182657989,7037.37481624913
"Topic involvement",0.62513897936,0.191717386342454,0.247140625,1.01077775,1.00062055984146,1665.05141684877,3041.9911601635
"Pre-Attitude",-0.511202994211,0.190326512418626,-0.8913353,-0.1430711,1.00314259340652,1774.88496798714,3135.16286893192
