"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-3.7955182475,0.389877830292866,-4.60357475,-3.0750805,1.00093426628185,4864.39140000212,4669.39760356488
"Intercept[2]",0.653504057865,0.207965930366172,0.2513314,1.071813,1.00075862219237,7714.71695590473,6774.57034414592
"Intercept[3]",3.08366459125,0.326333473764063,2.4654245,3.7473925,1.00087256657364,9412.38861369624,6751.28280161559
"Intercept[4]",5.90934345625,1.03555529288855,4.31713325,8.38646325,1.00042013567095,10473.8810639344,6219.57147948471
"Treatment [Categorize]",0.17638109544505,0.28616407886952,-0.38881185,0.740260725,1.00065043212181,8676.43609774941,5745.95776434543
"Treatment [Draw]",-0.4419643746584,0.305321801911632,-1.032655,0.157970375,1.00038817491849,8072.25464986759,5838.93066301809
"Topic Involvement",-0.44552562611465,0.145477967177097,-0.733662375,-0.16757115,0.999965176907461,9155.9089187809,6419.59935649313
"Article Interest",0.273505745844675,0.19400568970274,-0.115745375,0.650729875,1.00007447752852,6997.88927127584,6409.68028293165
"Article Recommend",-0.196957345338063,0.191206924163022,-0.57070455,0.17855445,1.00011039212211,6855.15352669378,6186.48333229461
"Article Surprise",0.4193208849175,0.159989589548198,0.1125103,0.7460253,1.00028976266971,9627.09306285854,6188.50428364846
