"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept[1]",-7.435065238,0.624467775717686,-8.71412375,-6.25151275,1.00053229247549,1445.89430361039,3124.08296843335
"Intercept[2]",-3.148692531,0.485388336926472,-4.13663975,-2.223645,1.00069995047392,1053.38484846769,2531.69187742087
"Intercept[3]",1.55890101387,0.468763880533482,0.637640450000001,2.47746775,1.00080198460426,1117.69781812226,2190.43207251692
"Intercept[4]",5.798900614,0.539704949315989,4.77031225,6.8777005,1.00115730738808,1423.38569522237,2751.00610725003
"Treatment [Categorize]",0.828148116271,0.625091841417872,-0.4084946,2.05211625,1.00238342867413,949.799122873943,2253.45783951587
"Treatment [Draw]",1.390488810345,0.646252256923393,0.1394528,2.66636225,1.00108983679722,871.76777240801,1786.482568699
"Article [Drug use disorder]",-0.713728150151,0.195260358263598,-1.09805275,-0.336725125,0.99995367796205,9270.82430967167,7873.15083995486
"Article [Synthetic opioids]",0.79723380558,0.195828279030385,0.415210625,1.18634125,1.0000107269522,8505.12089438215,7234.7594226606
"Topic involvement",2.685347854,0.321478192127858,2.09013225,3.354982,1.00414823349405,1151.92391933541,2653.74304373982
"Pre-Attitude",0.09710930153685,0.287517137654785,-0.474670475,0.660184724999999,1.00772728705194,996.923795049539,2112.9607836376
